==================================================
СКРИПТ: IFC_Checker
ЗАПУСК: 2026-01-18 17:53:59
==================================================
2026-01-18 17:53:59 | INFO     | interface.py:78 | check_ifc | Начало проверки IFC
2026-01-18 17:54:17 | DEBUG    | interface.py:143 | check_ifc |   IFC: C:/Users/ilyas/Documents/GitHub/ifc_checker/samples/ifc_models\KR\Здание_2_KR.ifc
2026-01-18 17:54:17 | DEBUG    | interface.py:144 | check_ifc |   IDS: C:/Users/ilyas/Documents/GitHub/ifc_checker/samples/test_KR.ids
2026-01-18 17:54:18 | INFO     | interface.py:161 | check_ifc |   Готово: C:/Users/ilyas/Documents/GitHub/ifc_checker/samples/reports\KR\Здание_2_KR(test_KR).html
--------------------------------------------------------------------------------
2026-01-18 17:54:18 | INFO     | interface.py:172 | check_ifc | Формирование сводного отчета...
2026-01-18 17:54:21 | INFO     | interface.py:178 | check_ifc | Сводный отчет создан
2026-01-18 17:54:21 | INFO     | interface.py:179 | check_ifc | Всего отчетов: 6 шт.
--------------------------------------------------------------------------------
2026-01-18 17:54:21 | INFO     | interface.py:189 | check_ifc | Проверка завершена
2026-01-18 17:54:21 | INFO     | interface.py:191 | check_ifc | Лог сохранен: C:\Users\ilyas\Documents\GitHub\ifc_checker\samples\reports\ifc_checker.log
